priorizado,dss,anio,correlacion,ci_lower,ci_upper,p_value,n,rank_abs,top10
razon-mortalidad-materna,gasto-educ-pib,2018,-0.05650284501687648,-0.39220946054864675,0.29248566653321567,0.7547986329069145,33,3,TRUE
razon-mortalidad-materna,uso-internet,2019,-0.5354503348724676,-0.7572579472828892,-0.2029000359378557,0.003321436611219814,28,1,TRUE
razon-mortalidad-materna,gini,2019,-0.10359116022099449,-0.619239428121977,0.474484725935761,0.7362853861302553,13,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2019,-0.03070761090710106,-0.38670467682920123,0.3332545018739974,0.8720276613647397,30,3,TRUE
razon-mortalidad-materna,uso-internet,2020,-0.41450070823497126,-0.690924057072835,-0.03233393219293835,0.03525975143156223,26,1,TRUE
razon-mortalidad-materna,gini,2020,0.013986013986013988,-0.5644543647981471,0.5832143900550019,0.9655902689187796,12,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2020,-0.0011127184329769696,-0.36124315563501896,0.35930657628797974,0.9953438686499099,30,3,TRUE
razon-mortalidad-materna,uso-internet,2021,-0.2996335317770972,-0.6101750951095369,0.09071629983025781,0.12891314577890245,27,1,TRUE
razon-mortalidad-materna,gini,2021,0.26207120918047955,-0.33768331345899866,0.7104725832382519,0.3870570787830163,13,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2021,-0.17505294740678864,-0.49847872078869854,0.19115003144685494,0.34624308119631886,31,3,TRUE
razon-mortalidad-materna,uso-internet,2022,-0.35074869607069104,-0.6448198733143073,0.03377325066241513,0.07284778859908979,27,1,TRUE
razon-mortalidad-materna,gasto-educ-pib,2022,-0.26246666583573763,-0.5689425711969965,0.10802329777306871,0.1611511790077657,30,2,TRUE
razon-mortalidad-materna,gini,2022,0.057205755188472505,-0.4881997028283665,0.5704775556161092,0.8459835436129702,14,3,TRUE
razon-mortalidad-materna,gini,2023,-0.38461538461538464,-0.7720049606213658,0.21111809596910355,0.19441291997748622,13,1,TRUE
razon-mortalidad-materna,uso-internet,2023,-0.2973591852687696,-0.6086054907914478,0.09319200088807317,0.13198457178731282,27,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2023,-0.18503558718894128,-0.5406440581540449,0.2266750164868409,0.37589030811201973,25,3,TRUE
razon-mortalidad-materna,gasto-educ-pib,2024,-0.34545454545454546,-0.7830619331181295,0.32093719325641196,0.2980892209030389,11,1,TRUE
razon-mortalidad-materna,uso-internet,2024,-0.21135432152575268,-0.5534054215909133,0.19169831351850283,0.29998535337873283,26,2,TRUE
razon-mortalidad-materna,gini,2024,-0.07977999294270577,-0.6042130849165482,0.49287934739398165,0.7955744588596178,13,3,TRUE
tuberculosis,gasto-educ-pib,2000,-0.4751413187687697,-0.7470936609938047,-0.06693494234609185,0.025437234351615278,22,1,TRUE
tuberculosis,uso-internet,2000,-0.46808512780087147,-0.7054262850149122,-0.13635555045303283,0.007917475975357262,31,2,TRUE
tuberculosis,gini,2000,0.4077134986225896,-0.18479299742382455,0.7828430849733036,0.1666965757382751,13,3,TRUE
tuberculosis,uso-internet,2001,-0.5253087138969328,-0.7446539422893346,-0.20355797253276098,0.0028746310121250283,30,1,TRUE
tuberculosis,gasto-educ-pib,2001,-0.4414470480258695,-0.7606934027285487,0.049764214325043445,0.07607550844169057,17,2,TRUE
tuberculosis,gini,2001,0.37665198237885467,-0.19238230190623987,0.7561292967666926,0.18436534619565087,14,3,TRUE
tuberculosis,uso-internet,2002,-0.6352639296187683,-0.8055264319917095,-0.36810550305010625,9.37688810257784e-5,32,1,TRUE
tuberculosis,gini,2002,0.5736263736263736,0.0618696441390214,0.8465566512312448,0.03197081397639698,14,2,TRUE
tuberculosis,gasto-educ-pib,2002,-0.5526315789473685,-0.8048253132788843,-0.13139790532203652,0.014134856843017726,19,3,TRUE
tuberculosis,gini,2003,0.6996703903820867,0.2689135299435519,0.8971887346261218,0.005344582215938093,14,1,TRUE
tuberculosis,uso-internet,2003,-0.62253866221246,-0.8027654474222377,-0.33809259968515976,2.391587549333442e-4,30,2,TRUE
tuberculosis,gasto-educ-pib,2003,-0.2738043264901967,-0.6474942183911763,0.2060360763061182,0.25666609053053735,19,3,TRUE
tuberculosis,gini,2004,0.6988385274891434,0.2906018366926953,0.8918365688008282,0.0037475421325582144,15,1,TRUE
tuberculosis,uso-internet,2004,-0.5901986517855112,-0.7811741917723243,-0.29822087597843033,4.743544015338661e-4,31,2,TRUE
tuberculosis,gasto-educ-pib,2004,-0.26364198701544983,-0.6605847892521489,0.24850014188587022,0.30656260733055474,17,3,TRUE
tuberculosis,uso-internet,2005,-0.595967002749771,-0.7821296651189119,-0.31213254652931305,3.192669853079031e-4,32,1,TRUE
tuberculosis,gini,2005,0.5326186219738229,0.02798317328612048,0.8209085055493242,0.04094385395337005,15,2,TRUE
