tipo,indicador,iso3,territorio,anio,valor
dss,gasto-educ-pib,PER,Perú,1996,3.11879992485046
dss,gasto-educ-pib,DOM,República Dominicana,1996,1.22724997997284
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1996,3.24876999855042
dss,gasto-educ-pib,URY,Uruguay,1996,2.86985993385315
dss,gasto-educ-pib,CHL,Chile,1997,2.98516988754273
dss,gasto-educ-pib,JAM,Jamaica,1997,4.37953996658325
dss,gasto-educ-pib,PAN,Panamá,1997,4.08364009857178
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1997,3.3252100944519
dss,gasto-educ-pib,ARG,Argentina,1998,4.03986978530884
dss,gasto-educ-pib,ABW,Aruba,1998,4.76316022872925
dss,gasto-educ-pib,BMU,Bermudas,1998,2.15227007865906
dss,gasto-educ-pib,BRA,Brasil,1998,4.75666999816895
dss,gasto-educ-pib,CAN,Canadá,1998,5.49377012252808
dss,gasto-educ-pib,CHL,Chile,1998,3.32312989234924
dss,gasto-educ-pib,COL,Colombia,1998,3.92645001411438
dss,gasto-educ-pib,CUB,Cuba,1998,6.20873022079468
dss,gasto-educ-pib,DMA,Dominica,1998,5.73984003067017
dss,gasto-educ-pib,ECU,Ecuador,1998,2.19536995887756
dss,gasto-educ-pib,SLV,El Salvador,1998,2.54725003242493
dss,gasto-educ-pib,MEX,México,1998,3.17838001251221
dss,gasto-educ-pib,NIC,Nicaragua,1998,2.22585010528564
dss,gasto-educ-pib,PRY,Paraguay,1998,4.19833993911743
dss,gasto-educ-pib,PER,Perú,1998,3.27817988395691
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,1998,4.02056980133057
dss,gasto-educ-pib,VCT,San Vicente y las Granadinas,1998,4.03337001800537
dss,gasto-educ-pib,LCA,Santa Lucía,1998,5.52894020080566
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1998,2.43892002105713
dss,gasto-educ-pib,URY,Uruguay,1998,2.24337005615234
dss,gasto-educ-pib,ATG,Antigua y Barbuda,1999,2.52540993690491
